MySQL [gc_sp21_dinosaurherd_log]> \. queries/timeOnLevels.sql
+--------------------------------------+-------+------+---------------+-----------------------------------------------------------------------------------------------------------+
| uid                                  | level | time | q_detail      | q_detail                                                                                                  |
| 44F924F9-7413-F621-F8AA-017B1667D4FB |     6 |   59 | {"score":30}  | {"deathCount":1,"score":34,"time":58.683333333331,"preyCollected":4,"predCollected":0,"preyDeaths":1}     |
| 44F924F9-7413-F621-F8AA-017B1667D4FB |     5 |  202 | {"score":18}  | {"deathCount":1,"score":30,"time":198.20000000005,"preyCollected":11,"predCollected":1,"preyDeaths":0}    |
| 44F924F9-7413-F621-F8AA-017B1667D4FB |     4 |  170 | {"score":13}  | {"deathCount":1,"score":18,"time":169.65000000003,"preyCollected":5,"predCollected":0,"preyDeaths":5}     |
| 44F924F9-7413-F621-F8AA-017B1667D4FB |     3 |   97 | {"score":1}   | {"deathCount":0,"score":13,"time":96.349999999996,"preyCollected":12,"predCollected":0,"preyDeaths":0}    |
| 44F924F9-7413-F621-F8AA-017B1667D4FB |     2 |   17 | {"score":0}   | {"deathCount":0,"score":1,"time":17.733333333334,"preyCollected":1,"predCollected":0,"preyDeaths":0}      |
| 44F924F9-7413-F621-F8AA-017B1667D4FB |     1 |   26 | {"score":0}   | {"deathCount":0,"score":0,"time":25.5,"preyCollected":0,"predCollected":0,"preyDeaths":0}                 |
| A82C4265-6184-CBF1-8437-386BAD1623C8 |     4 |  204 | {"score":13}  | {"deathCount":1,"score":23,"time":175.6166666667,"preyCollected":10,"predCollected":0,"preyDeaths":0}     |
| A82C4265-6184-CBF1-8437-386BAD1623C8 |     3 |   41 | {"score":1}   | {"deathCount":0,"score":13,"time":40.716666666666,"preyCollected":12,"predCollected":0,"preyDeaths":0}    |
| A82C4265-6184-CBF1-8437-386BAD1623C8 |     2 |   19 | {"score":0}   | {"deathCount":0,"score":1,"time":18.166666666667,"preyCollected":1,"predCollected":0,"preyDeaths":0}      |
| A82C4265-6184-CBF1-8437-386BAD1623C8 |     1 |   10 | {"score":0}   | {"deathCount":0,"score":0,"time":9.8666666666667,"preyCollected":0,"predCollected":0,"preyDeaths":0}      |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     3 |   31 | {"score":0}   | {"deathCount":0,"score":12,"time":30.7,"preyCollected":12,"predCollected":0,"preyDeaths":0}               |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     6 |  247 | {"score":26}  | {"deathCount":0,"score":38,"time":82.399999999997,"preyCollected":12,"predCollected":0,"preyDeaths":3}    |
| 44F924F9-7413-F621-F8AA-017B1667D4FB |     8 |   70 | {"score":56}  | {"deathCount":0,"score":79,"time":69.599999999997,"preyCollected":23,"predCollected":0,"preyDeaths":0}    |
| 44F924F9-7413-F621-F8AA-017B1667D4FB |     7 |   55 | {"score":49}  | {"deathCount":1,"score":56,"time":54.533333333332,"preyCollected":7,"predCollected":0,"preyDeaths":5}     |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     5 |  116 | {"score":14}  | {"deathCount":0,"score":26,"time":115.18333333333,"preyCollected":11,"predCollected":1,"preyDeaths":0}    |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     5 |   23 | {"score":13}  | {"deathCount":1,"score":14,"time":22.8,"preyCollected":0,"predCollected":1,"preyDeaths":0}                |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     5 |  139 | {"score":13}  | {"deathCount":0,"score":26,"time":115.18333333333,"preyCollected":11,"predCollected":1,"preyDeaths":0}    |
| 44F924F9-7413-F621-F8AA-017B1667D4FB |     6 |   86 | {"score":34}  | {"deathCount":1,"score":49,"time":86.199999999996,"preyCollected":15,"predCollected":0,"preyDeaths":0}    |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     4 |   48 | {"score":13}  | {"deathCount":0,"score":13,"time":1.9333333333333,"preyCollected":0,"predCollected":0,"preyDeaths":0}     |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     3 |   22 | {"score":1}   | {"deathCount":0,"score":13,"time":22.3,"preyCollected":12,"predCollected":0,"preyDeaths":0}               |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     2 |    6 | {"score":0}   | {"deathCount":0,"score":1,"time":5.9333333333333,"preyCollected":1,"predCollected":0,"preyDeaths":0}      |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     1 |    4 | {"score":0}   | {"deathCount":0,"score":0,"time":4.5833333333333,"preyCollected":0,"predCollected":0,"preyDeaths":0}      |
| 44F924F9-7413-F621-F8AA-017B1667D4FB |     5 |   90 | {"score":22}  | {"deathCount":0,"score":34,"time":89.899999999996,"preyCollected":11,"predCollected":1,"preyDeaths":0}    |
| 44F924F9-7413-F621-F8AA-017B1667D4FB |     4 |   30 | {"score":13}  | {"deathCount":0,"score":22,"time":30.55,"preyCollected":9,"predCollected":0,"preyDeaths":1}               |
| 44F924F9-7413-F621-F8AA-017B1667D4FB |     3 |   27 | {"score":1}   | {"deathCount":0,"score":13,"time":27.366666666666,"preyCollected":12,"predCollected":0,"preyDeaths":0}    |
| 44F924F9-7413-F621-F8AA-017B1667D4FB |     2 |    6 | {"score":0}   | {"deathCount":0,"score":1,"time":6.0833333333333,"preyCollected":1,"predCollected":0,"preyDeaths":0}      |
| 44F924F9-7413-F621-F8AA-017B1667D4FB |     1 |    6 | {"score":0}   | {"deathCount":0,"score":0,"time":6.2333333333333,"preyCollected":0,"predCollected":0,"preyDeaths":0}      |
| 44F924F9-7413-F621-F8AA-017B1667D4FB |     3 |   30 | {"score":1}   | {"deathCount":0,"score":13,"time":29.466666666666,"preyCollected":12,"predCollected":0,"preyDeaths":0}    |
| 44F924F9-7413-F621-F8AA-017B1667D4FB |     2 |   12 | {"score":0}   | {"deathCount":0,"score":1,"time":12,"preyCollected":1,"predCollected":0,"preyDeaths":0}                   |
| 44F924F9-7413-F621-F8AA-017B1667D4FB |     2 |   19 | {"score":0}   | {"deathCount":0,"score":1,"time":12,"preyCollected":1,"predCollected":0,"preyDeaths":0}                   |
| 44F924F9-7413-F621-F8AA-017B1667D4FB |     1 |    4 | {"score":0}   | {"deathCount":0,"score":0,"time":3.5166666666667,"preyCollected":0,"predCollected":0,"preyDeaths":0}      |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     3 |   29 | {"score":1}   | {"deathCount":0,"score":13,"time":29.316666666666,"preyCollected":12,"predCollected":0,"preyDeaths":0}    |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     2 |    5 | {"score":0}   | {"deathCount":0,"score":1,"time":5.5833333333333,"preyCollected":1,"predCollected":0,"preyDeaths":0}      |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     2 |    8 | {"score":0}   | {"deathCount":0,"score":11,"time":7.7,"preyCollected":11,"predCollected":0,"preyDeaths":0}                |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     2 |    5 | {"score":0}   | {"deathCount":0,"score":1,"time":5.7166666666667,"preyCollected":1,"predCollected":0,"preyDeaths":0}      |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     1 |    5 | {"score":0}   | {"deathCount":0,"score":0,"time":5.8,"preyCollected":0,"predCollected":0,"preyDeaths":0}                  |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     2 |   12 | {"score":0}   | {"deathCount":0,"score":1,"time":9.6333333333334,"preyCollected":1,"predCollected":0,"preyDeaths":0}      |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     2 |    6 | {"score":0}   | {"deathCount":0,"score":1,"time":5.6666666666667,"preyCollected":1,"predCollected":0,"preyDeaths":0}      |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     2 |    7 | {"score":0}   | {"deathCount":0,"score":1,"time":6.25,"preyCollected":1,"predCollected":0,"preyDeaths":0}                 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     2 |    7 | {"score":0}   | {"deathCount":0,"score":1,"time":7.3666666666666,"preyCollected":1,"predCollected":0,"preyDeaths":0}      |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     2 |   10 | {"score":0}   | {"deathCount":0,"score":1,"time":8.9333333333334,"preyCollected":1,"predCollected":0,"preyDeaths":0}      |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     1 |    6 | {"score":0}   | {"deathCount":0,"score":0,"time":5.2666666666667,"preyCollected":0,"predCollected":0,"preyDeaths":0}      |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     2 |    6 | {"score":0}   | {"deathCount":0,"score":1,"time":5.85,"preyCollected":1,"predCollected":0,"preyDeaths":0}                 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     2 |    6 | {"score":0}   | {"deathCount":0,"score":1,"time":5.9333333333333,"preyCollected":1,"predCollected":0,"preyDeaths":0}      |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     5 |   22 | {"score":0}   | {"deathCount":0,"score":0,"time":21.05,"preyCollected":0,"predCollected":136,"preyDeaths":0}              |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     2 |   19 | {"score":0}   | {"deathCount":0,"score":0,"time":8.15,"preyCollected":111,"predCollected":0,"preyDeaths":0}               |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     2 |   11 | {"score":0}   | {"deathCount":0,"score":0,"time":11.066666666667,"preyCollected":182,"predCollected":0,"preyDeaths":0}    |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     2 |    6 | {"score":8}   | {"deathCount":0,"score":9,"time":6.2,"preyCollected":1,"predCollected":0,"preyDeaths":0}                  |
| 61F2CF48-1BE7-8576-E22F-351978F53446 |     1 |    8 | {"score":0}   | {"deathCount":0,"score":8,"time":7.5166666666666,"preyCollected":8,"predCollected":0,"preyDeaths":0}      |
