log_q_id,qid,log_q_ts,uid,gid,vid,cid,dqid,parent_dqid,q_detail,ae_seq_id,q_s_id,g_s_id,tid,cd_id,quest_seqid,qaction_seqid,session_seqid,sessionid,client_ts,foreign_game_id,multiplayer_seqid,quest_hash
4438,6,1621198813,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,2,CD664A44-C3B4-BAA8-22E4-947E918E0004,NULL,"{""score"":0}",NULL,1,1,1,0,6,1,11,69FDB01C-F51F-4175-4B49-770383AFB41C,1621198813046,0,0,NULL
4439,6,1621198813,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,2,NULL,NULL,"{""deathCount"":0,""score"":0,""time"":0.083333333333333,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,12,69FDB01C-F51F-4175-4B49-770383AFB41C,1621198813106,0,0,NULL
4440,1,1621198813,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,6D9CEE2E-3900-4F44-D242-192CD6E6C10D,NULL,"{""score"":0}",NULL,1,1,1,0,1,1,1,NULL,1621198813752,0,0,NULL
4441,7,1621198814,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,2,D58569CA-E1F3-0C71-1790-E83B16EB2DFF,NULL,"{""score"":0}",NULL,1,1,1,0,7,1,13,69FDB01C-F51F-4175-4B49-770383AFB41C,1621198814209,0,0,NULL
4442,1,1621198814,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,6D9CEE2E-3900-4F44-D242-192CD6E6C10D,NULL,"{""deathCount"":0,""score"":0,""time"":0.45,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,2,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198814209,0,0,NULL
4443,2,1621198814,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,A2DF469C-35CA-1725-2E4C-13AAEF9F29B3,NULL,"{""score"":0}",NULL,1,1,1,0,2,1,3,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198814264,0,0,NULL
4444,7,1621198814,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,2,D58569CA-E1F3-0C71-1790-E83B16EB2DFF,NULL,"{""deathCount"":0,""score"":0,""time"":0.61666666666667,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,14,69FDB01C-F51F-4175-4B49-770383AFB41C,1621198814808,0,0,NULL
4445,2,1621198815,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,A2DF469C-35CA-1725-2E4C-13AAEF9F29B3,NULL,"{""deathCount"":0,""score"":0,""time"":0.7,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,4,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198814958,0,0,NULL
4446,8,1621198815,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,2,7231A158-2E37-EBD9-D2C8-AE2DF0EA1D64,NULL,"{""score"":0}",NULL,1,1,1,0,8,1,15,69FDB01C-F51F-4175-4B49-770383AFB41C,1621198815091,0,0,NULL
4447,8,1621198815,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,2,7231A158-2E37-EBD9-D2C8-AE2DF0EA1D64,NULL,"{""deathCount"":0,""score"":0,""time"":0.2,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,16,69FDB01C-F51F-4175-4B49-770383AFB41C,1621198815273,0,0,NULL
4448,3,1621198815,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,B9D300B3-21E0-1167-9167-28F29149E9F8,NULL,"{""score"":0}",NULL,1,1,1,0,3,1,5,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198815423,0,0,NULL
4449,9,1621198815,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,2,9D8A413A-B188-ABFA-FC54-72D1BB49A631,NULL,"{""score"":0}",NULL,1,1,1,0,9,1,17,69FDB01C-F51F-4175-4B49-770383AFB41C,1621198815452,0,0,NULL
4450,9,1621198815,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,2,9D8A413A-B188-ABFA-FC54-72D1BB49A631,NULL,"{""deathCount"":0,""score"":0,""time"":0.21666666666667,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,18,69FDB01C-F51F-4175-4B49-770383AFB41C,1621198815657,0,0,NULL
4451,3,1621198815,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,B9D300B3-21E0-1167-9167-28F29149E9F8,NULL,"{""deathCount"":0,""score"":0,""time"":0.31666666666667,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,6,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198815730,0,0,NULL
